animal,genre,views,likes,like_rate,dur,upload,channel,subs,title,hook,ai_made,url
貓,教學DIY,1159175328,18219586,1.57,20,2023-02-07,Raja and David,3450000,I Built A Cat Wall Playground,幫貓打造整面牆遊樂場,False,https://www.youtube.com/shorts/bg4I_NtOshE
貓,ASMR療癒,886078333,5533571,0.62,5,2023-05-06,Cute Baby Cats 267,1440000,Kitten meowing to attract cats,小貓叫聲能召喚你家貓,False,https://www.youtube.com/shorts/NsMKvVdEPkw
貓,搞笑意外,795215538,13602927,1.71,14,2022-07-29,Sonyakisa8 TT,19500000,How to trim your cat`s claws 💅,教你怎麼幫貓剪指甲,False,https://www.youtube.com/shorts/qu3GD9lDAHA
貓,搞笑意外,759655258,15730805,2.07,22,2023-07-26,Sonyakisa8 TT,19500000,There was no trace of Sonya's pranks 🐾 #cat #cats,貓咪惡作劇完全不留痕跡,False,https://www.youtube.com/shorts/b7EdOq3vRQI
貓,搞笑意外,712665310,10040690,1.41,15,2021-09-21,ねこチャックの日常,1670000,びっくりする猫,貓被嚇到整隻彈起來,False,https://www.youtube.com/shorts/cd0Fy92_w_s
貓,搞笑意外,630364658,5091068,0.81,9,2023-08-12,exlittlebeans,5760000,"Boom,Scared me! #exlittlebeans #funny_cats #cat #funny_videos",砰！這一下嚇死我了,False,https://www.youtube.com/shorts/KId3r5dVwGk
貓,劇情反轉,561970063,11524275,2.05,16,2023-07-09,Sonyakisa8 TT,19500000,💔 #cat #cats,貓咪的心碎瞬間,False,https://www.youtube.com/shorts/rs1kUmYJIvY
貓,可愛日常,530023152,4207144,0.79,5,2021-11-05,Pet Lovers,1070000,Little mao #cat #catvideos #shorts,小貓咪的可愛瞬間,False,https://www.youtube.com/shorts/23SoRjexSvo
貓,挑戰實驗,527559746,2794067,0.53,17,2024-10-22,Cat Lounge TV,282000,液体チャレンジ💧#猫は液体#猫#猫好き#雑学#ブリーダー #キャットラウンジ　#Catlounge #マンチカンブリーダー #cat,貓是液體？液體挑戰實測,False,https://www.youtube.com/shorts/uOEXJt6yXSE
貓,可愛日常,469737621,9132330,1.94,13,2023-05-01,Sonyakisa8 TT,19500000,How do you like my new hat? 🤔 #cat #cats,我的新帽子好看嗎,False,https://www.youtube.com/shorts/tT377yJJg38
貓,音樂舞蹈,459704605,1990592,0.43,6,2025-04-05,MagicStuff AI,599000,😻Dudi dudi dum dum  song #cat #catlover #baby  #shorts #babyexpressions,AI 貓唱洗腦神曲,True,https://www.youtube.com/shorts/ciH8p79mT8k
貓,搞笑意外,442058995,9729192,2.2,18,2023-07-26,catvid-19,2010000,😹Cats Doing Cat Things😹 (3),貓就是要做貓的事,False,https://www.youtube.com/shorts/3bhkYoMWTFE
貓,救援感人,436789939,,,12,2025-05-12,BN ki Masti,12300000,Saved Kitten 🐈‍⬛😫 #shorts #bnkimasti #trending,救出受困的小黑貓,False,https://www.youtube.com/shorts/cGuYSxsRONU
貓,挑戰實驗,427319992,14355483,3.36,30,2023-08-31,MrBeast,512000000,"Feeding A Cat $10 Vs $10,000 Sushi",10 元 vs 1 萬元壽司餵貓,False,https://www.youtube.com/shorts/SGzWIoLAzmY
貓,可愛日常,416866291,9876808,2.37,13,2023-06-03,Sonyakisa8 TT,19500000,🥹 #cat  #cats,貓咪讓人鼻酸的一幕,False,https://www.youtube.com/shorts/6U7gV7KDEOI
貓,可愛日常,415284794,6171169,1.49,17,2024-07-22,Princess Nika cat,12700000,Nika loves to eat chicken #cat #cats,妮卡最愛啃雞肉,False,https://www.youtube.com/shorts/qolQY2JaKwI
貓,劇情反轉,394388490,7566014,1.92,13,2023-06-16,Sonyakisa8 TT,19500000,Love Story💙 #cat #cats,貓咪的愛情故事,False,https://www.youtube.com/shorts/WwV1ikzS30k
貓,救援感人,374962265,10434157,2.78,15,2021-09-26,scottsreality,21100000,I was at the beach and found a LOST kitten 🐱💔,海灘上發現一隻走失小貓,False,https://www.youtube.com/shorts/1j4dvayvUp4
